City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hobart,-42.8794,147.3294,62.94,56,97,13.51,AU,1611880096
Te Anau,-45.4167,167.7167,50.56,67,85,2.84,NZ,1611880096
Rikitea,-23.1203,-134.9692,79.88,67,93,6.33,PF,1611879843
Pisco,-13.7,-76.2167,71.6,73,0,16.11,PE,1611880008
Avallon,47.4833,3.9,57.0,93,100,3.0,FR,1611880097
Avarua,-21.2078,-159.775,87.8,58,45,14.97,CK,1611880097
Lorengau,-2.0226,147.2712,84.58,72,99,8.34,PG,1611880097
Hanstholm,57.1167,8.6167,32.09,91,100,6.69,DK,1611879961
Río Gallegos,-51.6226,-69.2181,48.2,49,40,24.16,AR,1611880098
Lompoc,34.6391,-120.4579,51.8,87,90,3.44,US,1611880098
Khatanga,71.9667,102.5,-42.3,74,0,2.71,RU,1611879851
Yellowknife,62.456,-114.3525,-20.0,76,20,6.91,CA,1611880090
Makushino,55.2103,67.2442,17.11,94,100,13.96,RU,1611880098
Port Lincoln,-34.7333,135.8667,68.07,72,69,8.99,AU,1611880099
Kahului,20.8947,-156.47,80.6,54,40,25.32,US,1611880099
Saint-Philippe,-21.3585,55.7679,77.0,69,0,6.91,RE,1611880099
Chokurdakh,70.6333,147.9167,-19.28,88,100,7.11,RU,1611879999
Mnogovershinnyy,53.9353,139.9242,-9.06,92,98,1.32,RU,1611880099
New Norfolk,-42.7826,147.0587,62.02,54,95,9.78,AU,1611880100
Plattling,48.7833,12.8667,39.0,93,100,8.55,DE,1611880100
Elizabeth City,36.2946,-76.2511,33.8,51,1,11.5,US,1611880100
Tura,25.5198,90.2201,55.71,63,0,2.86,IN,1611880100
Cherskiy,68.75,161.3,-29.54,85,61,2.66,RU,1611880100
Atuona,-9.8,-139.0333,78.98,75,16,18.57,PF,1611880100
Santa Maria,-29.6842,-53.8069,71.13,94,100,10.58,BR,1611880101
Along,28.1667,94.7667,47.23,53,24,1.92,IN,1611880101
Hilo,19.7297,-155.09,80.6,54,20,9.22,US,1611879804
Cooma,-36.2333,149.1333,55.4,100,90,11.5,AU,1611880101
Quatre Cocos,-20.2078,57.7625,75.99,88,40,7.49,MU,1611880094
Ambilobe,-13.2,49.05,73.92,92,81,2.33,MG,1611880102
North Bend,43.4065,-124.2243,48.2,76,75,6.91,US,1611879822
Vastseliina,57.7303,27.2932,28.4,100,100,2.24,EE,1611880102
San Patricio,28.017,-97.5169,60.8,71,75,10.36,US,1611879828
Lagoa,39.05,-27.9833,63.07,87,100,32.68,PT,1611880102
Lahaina,20.8783,-156.6825,80.6,64,40,9.22,US,1611879908
Waspán,14.7419,-83.9717,80.6,90,40,13.8,NI,1611880102
George Town,5.4112,100.3354,78.01,88,20,3.44,MY,1611880034
Wharton,29.3116,-96.1027,55.0,43,1,3.44,US,1611880103
Labuhan,-6.8844,112.2051,78.22,87,100,12.3,ID,1611880103
Lüderitz,-26.6481,15.1594,68.95,50,0,24.16,NA,1611880103
Tiksi,71.6872,128.8694,-22.16,87,99,7.14,RU,1611880103
Meulaboh,4.1363,96.1285,75.09,86,100,4.65,ID,1611880069
Dzaoudzi,-12.7887,45.2699,81.84,63,52,2.46,YT,1611880104
Vengerovo,55.6848,76.7471,23.99,96,100,17.58,RU,1611880104
Port Alfred,-33.5906,26.891,66.07,82,3,3.2,ZA,1611879978
Ulaanbaatar,47.9077,106.8832,-5.8,65,0,6.71,MN,1611879859
Cape Town,-33.9258,18.4232,63.99,73,2,6.98,ZA,1611879907
Mitsamiouli,-11.3847,43.2844,82.62,72,30,7.11,KM,1611880104
Vila Franca do Campo,37.7167,-25.4333,64.0,94,75,24.16,PT,1611880085
Plettenberg Bay,-34.0527,23.3716,61.75,76,0,5.03,ZA,1611880105
Praia,14.9215,-23.5087,69.8,64,0,11.5,CV,1611880105
Santa Rosalía,27.3167,-112.2833,60.84,52,11,3.65,MX,1611880105
Almaznyy,48.0448,40.045,33.8,93,0,13.42,RU,1611880105
Leningradskiy,69.3833,178.4167,-19.91,85,75,4.41,RU,1611879966
Evensk,61.95,159.2333,-3.93,85,100,12.08,RU,1611879937
Rabo de Peixe,37.8,-25.5833,64.0,94,75,24.16,PT,1611880106
Tautira,-17.7333,-149.15,84.2,74,40,2.3,PF,1611880106
Semey,50.4111,80.2275,17.19,94,65,7.67,KZ,1611880106
Tasiilaq,65.6145,-37.6368,26.6,86,90,18.41,GL,1611880041
Pandan,14.0453,124.1694,75.81,82,97,21.5,PH,1611880106
Yulara,-25.2406,130.9889,86.0,39,100,16.11,AU,1611880062
Yumen,40.2833,97.2,19.9,76,0,14.07,CN,1611880042
Narsaq,60.9167,-46.05,46.4,29,75,26.46,GL,1611880027
Kiryat Gat,31.61,34.7642,52.0,100,29,3.0,IL,1611880107
Batemans Bay,-35.7167,150.1833,64.99,91,100,11.99,AU,1611880107
Gizo Government Station,-8.103,156.8419,85.1,72,98,14.88,SB,1611880107
Goya,-29.14,-59.2626,78.58,74,29,5.14,AR,1611880107
Manado,1.487,124.8455,80.08,74,96,2.55,ID,1611880108
Pevek,69.7008,170.3133,-21.24,87,49,1.72,RU,1611879952
Busselton,-33.65,115.3333,68.0,79,0,1.99,AU,1611879954
Padang,-0.9492,100.3543,75.2,94,75,3.44,ID,1611880108
Vaini,-21.2,-175.2,78.8,94,75,21.85,TO,1611880108
Puerto Ayora,-0.7393,-90.3518,79.0,90,80,7.0,EC,1611880108
Arkadelphia,34.1209,-93.0538,42.8,61,1,4.61,US,1611880109
Bilma,18.6853,12.9164,63.32,28,2,11.79,NE,1611880109
Valdivia,-39.8142,-73.2459,57.2,100,90,4.61,CL,1611880109
Butaritari,3.0707,172.7902,80.73,79,94,15.88,KI,1611880109
Saskylakh,71.9167,114.0833,-41.22,79,40,4.23,RU,1611880109
Port-Gentil,-0.7193,8.7815,78.8,94,20,3.44,GA,1611880109
Cuiluan,47.72,128.648,-20.51,83,34,1.79,CN,1611880110
Amahai,-3.3333,128.9167,78.4,80,100,11.36,ID,1611880110
Santa Cruz de la Sierra,-17.8,-63.1667,72.79,89,100,11.79,BO,1611879935
Sioux Lookout,50.1001,-91.917,-3.42,91,56,2.82,CA,1611880110
Severo-Kuril'sk,50.6789,156.125,28.29,92,72,7.36,RU,1611880110
Hermanus,-34.4187,19.2345,62.37,76,21,6.38,ZA,1611879958
Pundaguitan,6.3711,126.1689,77.09,89,99,12.75,PH,1611880111
Severnoye,56.3491,78.3619,24.06,98,100,16.71,RU,1611880111
Yārāda,17.65,83.2667,73.4,94,75,2.3,IN,1611880111
Hong Kong,22.2855,114.1577,60.01,57,10,9.53,HK,1611879840
Bengkulu,-3.8004,102.2655,75.4,85,93,8.97,ID,1611879984
Hithadhoo,-0.6,73.0833,81.81,72,86,10.31,MV,1611880111
The Valley,18.217,-63.0578,76.96,75,2,9.04,AI,1611880112
Tuktoyaktuk,69.4541,-133.0374,-28.5,84,3,8.79,CA,1611879877
Les Cayes,18.2,-73.75,74.89,79,20,5.17,HT,1611879958
Vestmannaeyjar,63.4427,-20.2734,33.4,86,5,11.48,IS,1611879989
Lavrentiya,65.5833,-171.0,-12.26,84,100,13.91,RU,1611880112
Miramar,25.9873,-80.2323,63.0,51,1,11.5,US,1611880112
Lago da Pedra,-4.3333,-45.1667,74.57,94,100,4.14,BR,1611880112
Lingao,19.9103,109.6859,62.76,74,12,13.87,CN,1611880113
Loa Janan,-0.583,117.095,73.98,94,100,2.62,ID,1611880113
Ballina,-28.8667,153.5667,80.6,65,40,10.36,AU,1611880113
Ponta Delgada,37.7333,-25.6667,64.0,94,75,24.16,PT,1611880113
Comodoro Rivadavia,-45.8667,-67.5,68.0,34,40,10.36,AR,1611880113
Fairbanks,64.8378,-147.7164,0.9,90,98,1.74,US,1611880114
Ostrovnoy,68.0531,39.5131,2.34,89,99,16.78,RU,1611880114
Qeshm,26.9581,56.2719,67.33,67,7,5.68,IR,1611880114
Teahupoo,-17.8333,-149.2667,84.2,74,40,2.3,PF,1611879966
São João da Barra,-21.6403,-41.0511,78.17,80,41,21.56,BR,1611880037
Cap Malheureux,-19.9842,57.6142,75.99,83,9,3.0,MU,1611880114
Touros,-5.1989,-35.4608,79.2,78,80,12.55,BR,1611879982
Katsuura,35.1333,140.3,46.56,56,26,15.19,JP,1611880115
Cabo San Lucas,22.8909,-109.9124,75.2,53,1,8.05,MX,1611880115
Dunedin,-45.8742,170.5036,55.0,74,91,1.99,NZ,1611880115
Mar del Plata,-38.0023,-57.5575,72.0,88,75,9.22,AR,1611879951
Cidreira,-30.1811,-50.2056,72.86,91,100,15.3,BR,1611880033
Ust'-Ilimsk,58.0006,102.6619,-36.17,81,100,2.98,RU,1611880116
Kuytun,54.3419,101.5036,-30.28,83,83,2.73,RU,1611880116
Upata,8.0086,-62.3989,75.0,82,94,5.01,VE,1611880116
Skibbereen,51.55,-9.2667,46.4,87,75,19.57,IE,1611879894
Saint George,37.1041,-113.5841,55.99,33,1,19.57,US,1611880035
Kapaa,22.0752,-159.319,75.2,69,90,19.57,US,1611879837
Le Havre,49.4938,0.1077,51.51,88,100,25.48,FR,1611880117
Aykhal,66.0,111.5,-36.65,80,76,5.1,RU,1611880117
Venice,27.0998,-82.4543,62.6,42,1,5.75,US,1611880117
Saint-Paul,-21.0096,55.2707,77.0,69,18,11.5,RE,1611880062
Paraguaçu,-21.5472,-45.7375,68.14,76,99,2.55,BR,1611880117
Provideniya,64.3833,-173.3,10.4,72,0,20.13,RU,1611880117
Rocky Mountain House,52.3668,-114.9188,2.62,92,100,5.55,CA,1611879990
Beringovskiy,63.05,179.3167,-0.87,92,100,21.36,RU,1611880118
Champerico,14.3,-91.9167,82.4,65,0,6.91,GT,1611880118
Xai-Xai,-25.0519,33.6442,76.41,85,78,9.33,MZ,1611880118
Yangi Marg`ilon,40.4272,71.7189,28.4,59,0,4.61,UZ,1611880118
Zhezkazgan,47.8043,67.7144,10.89,93,0,7.58,KZ,1611880119
The Pas,53.8251,-101.2541,6.8,78,90,14.97,CA,1611880119
Zhigansk,66.7697,123.3711,-52.58,75,54,6.02,RU,1611880119
Dikson,73.5069,80.5464,-32.08,79,63,3.24,RU,1611880120
Maceió,-9.6658,-35.7353,77.0,88,0,3.44,BR,1611880120
Sarh,9.1429,18.3923,75.2,41,0,7.02,TD,1611880120
Thompson,55.7435,-97.8558,-4.0,84,75,4.61,CA,1611880120
Pasni,25.2631,63.471,66.0,27,0,8.03,PK,1611880120
Niquero,20.0431,-77.5828,77.74,74,0,14.05,CU,1611880120
Lebu,-37.6167,-73.65,58.35,96,99,13.27,CL,1611880121
Mnichovo Hradiště,50.5272,14.9713,30.0,10,100,6.89,CZ,1611880121
Sambava,-14.2667,50.1667,77.22,85,74,2.82,MG,1611880121
Ankang,32.68,109.0172,39.99,52,0,4.0,CN,1611880121
Solginskiy,61.05,41.3428,20.7,97,99,8.41,RU,1611880121
Port Hedland,-20.3167,118.5667,86.0,79,0,12.66,AU,1611880122
Wanning,18.8003,110.3967,65.16,81,84,10.96,CN,1611880122
Kalmunai,7.4167,81.8167,75.36,90,95,9.1,LK,1611880122
Wairoa,-39.0333,177.3667,58.48,77,66,13.51,NZ,1611880122
College,64.8569,-147.8028,-0.99,71,90,2.1,US,1611879952
Barranca,-10.75,-77.7667,70.2,83,25,5.5,PE,1611880122
Asău,46.4333,26.4,32.0,59,0,6.91,RO,1611880123
Perambalur,11.2333,78.8833,71.6,88,40,5.75,IN,1611880123
Havøysund,70.9963,24.6622,17.6,57,40,27.63,NO,1611880123
Mandalgovi,45.7625,106.2708,11.75,85,44,19.48,MN,1611879982
Dali,25.7,100.1833,38.77,74,0,2.91,CN,1611879952
Klaksvík,62.2266,-6.589,32.0,69,20,11.5,FO,1611880124
São Sepé,-30.1606,-53.5653,69.8,100,75,3.44,BR,1611880124
Tabou,4.423,-7.3528,77.31,89,38,4.32,CI,1611879917
Mareeba,-17.0,145.4333,81.23,67,100,6.98,AU,1611880124
Jiazi,22.8779,116.067,56.16,66,1,17.4,CN,1611880124
Suntar,62.1444,117.6319,-46.89,77,100,3.74,RU,1611879884
Sitka,57.0531,-135.33,35.6,64,75,6.91,US,1611879953
Acapulco de Juárez,16.8634,-99.8901,84.2,61,75,8.05,MX,1611880125
San Fernando del Valle de Catamarca,-28.4696,-65.7852,73.0,72,19,1.99,AR,1611880125
Egvekinot,66.3167,-179.1667,-18.33,84,73,21.97,RU,1611880125
Hachinohe,40.5,141.5,33.8,86,75,20.71,JP,1611880125
San Juan,-31.5375,-68.5364,82.72,21,56,11.39,AR,1611880125
Kirakira,-10.4544,161.9205,82.29,82,100,17.38,SB,1611880125
Rome,43.2128,-75.4557,16.0,67,90,20.71,US,1611880126
Oussouye,12.485,-16.5469,68.0,94,0,2.3,SN,1611880126
Kabinda,-6.1333,24.4833,63.73,96,100,2.48,CD,1611880126
Zhifang,30.35,114.3167,37.4,75,0,6.71,CN,1611880126
Nizwá,22.9333,57.5333,52.2,63,7,1.74,OM,1611880126
Iqaluit,63.7506,-68.5145,-11.2,77,1,23.02,CA,1611880127
Altay,47.8667,88.1167,1.33,78,0,1.72,CN,1611880127
San Cristobal,7.7669,-72.225,67.28,82,64,2.33,VE,1611879976
Hasaki,35.7333,140.8333,44.01,75,20,13.8,JP,1611880127
Cascais,38.6979,-9.4215,55.99,100,68,5.32,PT,1611880127
Hobyo,5.3505,48.5268,75.79,71,37,17.9,SO,1611880056
East London,-33.0153,27.9116,68.02,77,8,9.93,ZA,1611879834
Coyhaique,-45.5752,-72.0662,47.07,76,32,7.85,CL,1611880128
Shestakovo,56.4915,103.96,-36.62,79,25,1.66,RU,1611880128
Rayevskiy,54.0658,54.9468,18.95,93,100,7.58,RU,1611880128
Sokolo,14.7328,-6.1219,68.04,18,0,9.71,ML,1611880128
Jijiga,9.35,42.8,56.25,56,0,3.74,ET,1611880128
Ntungamo,-0.8833,29.65,66.06,64,78,3.85,UG,1611880129
Nouadhibou,20.931,-17.0347,69.8,49,0,12.66,MR,1611880129
Tupelo,34.2576,-88.7034,36.16,80,0,7.29,US,1611880129
Clyde River,70.4692,-68.5914,-20.2,76,1,2.3,CA,1611879893
Broome,42.2506,-75.833,8.96,93,100,10.2,US,1611880040
Mosquera,4.7059,-74.2302,57.2,82,75,4.61,CO,1611879934
Carlos Chagas,-17.7031,-40.7664,74.19,79,15,9.6,BR,1611880129
Bubaque,11.2833,-15.8333,78.06,70,23,10.67,GW,1611880105
Bhilwara,25.35,74.6333,48.47,50,0,4.56,IN,1611880130
Saint-Augustin,51.226,-58.6502,13.42,93,85,7.76,CA,1611880130
Vardø,70.3705,31.1107,19.4,63,20,24.16,NO,1611880130
Ialibu,-6.2821,143.9935,68.36,64,81,7.58,PG,1611880130
Zaranj,30.9667,61.8833,32.0,29,0,6.91,AF,1611880130
Alofi,-19.0595,-169.9187,80.6,83,90,24.61,NU,1611880131
Mattawa,46.7379,-119.9028,42.8,81,90,4.5,US,1611880131
Xichang,27.8964,102.2634,35.53,83,3,0.87,CN,1611880048
Faanui,-16.4833,-151.75,81.09,67,100,6.67,PF,1611880131
Srīsailain,16.0833,78.8667,63.36,94,22,2.24,IN,1611880131
Corbélia,-24.7989,-53.3067,71.6,83,20,11.5,BR,1611880131
Ojuelos de Jalisco,21.8667,-101.5833,61.47,44,25,10.2,MX,1611880132
Grindavik,63.8424,-22.4338,24.8,86,0,9.22,IS,1611880045
Hamilton,39.1834,-84.5333,28.4,59,75,8.05,US,1611879950
Talcahuano,-36.7167,-73.1167,58.15,92,92,7.92,CL,1611879915
Dingle,10.9995,122.6711,73.76,90,88,9.93,PH,1611880132
Rock Springs,41.5875,-109.2029,33.8,47,1,23.02,US,1611880132
Hofn,64.2539,-15.2082,29.1,89,8,5.77,IS,1611880133
Longido,-2.7333,36.6833,63.55,87,45,5.84,TZ,1611880133
Nāravārikuppam,13.1956,80.1742,73.4,94,40,7.02,IN,1611880133
Puerto Parra,6.6515,-74.0573,79.52,75,27,2.08,CO,1611880133
Tambopata,-12.7333,-69.1833,74.86,97,53,3.69,PE,1611880133
Haldībāri,26.3333,88.7667,57.94,56,0,3.98,IN,1611880133
Bathsheba,13.2167,-59.5167,76.73,73,36,12.24,BB,1611880134
Gamba,-2.65,10.0,77.32,88,100,4.45,GA,1611880134
Shimanovsk,52.0,127.7,-23.75,86,95,4.16,RU,1611880083
Zlobin,45.2924,14.6541,45.0,93,75,10.36,HR,1611880134
Sibu,2.3,111.8167,75.2,100,40,3.44,MY,1611880134
Coquimbo,-29.9533,-71.3436,60.8,88,40,5.75,CL,1611879885
Miquelon,47.0975,-56.3814,27.73,88,97,13.4,PM,1611880135
Buala,-8.145,159.5921,81.66,83,100,15.35,SB,1611880135
Hambantota,6.1241,81.1185,73.4,100,90,2.3,LK,1611879854
Bethel,41.3712,-73.414,21.2,42,1,16.11,US,1611880135
Kungurtug,50.5994,97.5228,10.35,90,100,2.68,RU,1611880135
América Dourada,-11.4553,-41.4361,74.17,58,100,10.22,BR,1611880135
Kochi,9.9399,76.2602,71.91,79,6,5.39,IN,1611880136
Sangar,63.9242,127.4739,-53.84,72,67,3.87,RU,1611880136
Mogadishu,2.0371,45.3438,76.48,79,0,19.26,SO,1611879863
Kamenka,51.3223,42.7678,28.51,98,100,10.27,RU,1611880136
Kashgar,39.4547,75.9797,19.4,76,0,1.52,CN,1611880136
Lufilufi,-13.8745,-171.5986,82.67,75,99,18.61,WS,1611880137
Asunción Mita,14.3308,-89.7108,75.54,59,96,8.23,GT,1611880137
Pangnirtung,66.1451,-65.7125,-7.6,77,1,6.91,CA,1611880137
Laguna,38.421,-121.4238,51.1,86,100,14.16,US,1611880137
Malbork,54.0359,19.0266,30.0,100,49,11.39,PL,1611880137
Kudahuvadhoo,2.6708,72.8944,80.02,79,65,13.91,MV,1611880137
Berlevåg,70.8578,29.0864,22.5,92,100,20.87,NO,1611880019
Sakakah,29.9697,40.2064,50.0,53,0,6.91,SA,1611880138
Faya,18.3851,42.4509,54.73,40,55,4.0,SA,1611880138
Eyl,7.9803,49.8164,69.49,80,6,12.1,SO,1611879935
Chernukha,55.5974,43.7556,20.43,97,100,7.31,RU,1611880138
San Jose,37.3394,-121.895,51.01,87,90,9.22,US,1611880045
Yairipok,24.6667,94.0667,41.0,100,75,1.14,IN,1611880139
Provincie Utrecht,52.0,5.25,41.0,96,99,1.01,NL,1611880066
Coahuayana Viejo,18.7333,-103.6833,82.8,53,11,3.78,MX,1611879983
Mahébourg,-20.4081,57.7,78.87,75,6,7.83,MU,1611880139
San Jerónimo,-11.9472,-75.2829,50.85,77,97,7.49,PE,1611880139
Olinda,-8.0089,-34.8553,78.8,73,40,8.05,BR,1611880027
Longyearbyen,78.2186,15.6401,-2.2,46,20,19.57,SJ,1611879954
Upernavik,72.7868,-56.1549,-12.82,86,27,11.45,GL,1611879984
Waingapu,-9.6567,120.2641,81.82,77,96,14.18,ID,1611880140
Mkushi,-13.6202,29.3939,62.71,94,99,1.45,ZM,1611880140
Agüimes,27.9054,-15.4461,68.0,82,0,6.91,ES,1611880141
Morondava,-20.2833,44.2833,80.74,81,97,6.6,MG,1611880141
Oranjemund,-28.55,16.4333,62.22,80,0,18.86,NA,1611880141
Srednekolymsk,67.45,153.6833,-17.75,87,100,8.75,RU,1611880141
Honiara,-9.4333,159.95,80.46,83,100,9.66,SB,1611880082
Dolisie,-4.1997,12.6739,71.58,97,95,1.88,CG,1611880142
Águas Formosas,-17.0822,-40.9358,70.23,87,44,2.82,BR,1611880142
Luau,-10.7073,22.2247,63.1,98,35,2.84,AO,1611880142
Kununurra,-15.7667,128.7333,82.4,94,75,12.66,AU,1611880142
Makakilo City,21.3469,-158.0858,80.6,54,75,12.66,US,1611879895
Tamworth,52.634,-1.6959,50.0,93,75,9.22,GB,1611880143
Wangqing,43.3218,129.7634,-9.36,80,12,6.04,CN,1611880143
Batagay,67.6333,134.6333,-48.6,74,32,1.5,RU,1611880143
Rochegda,62.8,43.25,24.24,98,100,5.44,RU,1611880083
Rānāvāv,21.6842,69.7408,56.28,38,0,11.18,IN,1611880144
Saldanha,-33.0117,17.9442,57.2,77,0,4.61,ZA,1611880144
Homer,59.6425,-151.5483,34.0,80,90,4.61,US,1611880144
Bījār,35.8668,47.6051,33.04,91,0,10.11,IR,1611880144
Samarai,-10.6167,150.6667,84.63,69,90,7.34,PG,1611880016
Sarana,56.4773,57.7259,20.97,95,100,4.45,RU,1611880144
Aklavik,68.2191,-135.0107,-25.6,68,40,5.75,CA,1611880145
Vieste,41.8825,16.175,44.6,76,20,3.44,IT,1611880145
Tiarei,-17.5333,-149.3333,84.2,74,40,2.3,PF,1611880145
Wattegama,6.7989,81.4808,73.4,100,90,2.3,LK,1611880145
Magistral'nyy,56.1725,107.4458,-28.19,81,100,3.02,RU,1611880145
Namwala,-15.7504,26.4384,66.34,97,99,1.81,ZM,1611880146
Codrington,-38.2667,141.9667,66.65,95,100,7.49,AU,1611880146
Bay Roberts,47.5999,-53.2648,23.0,78,77,1.99,CA,1611880146
Vysokogornyy,50.1167,139.15,-10.41,81,89,2.28,RU,1611880146
Salta,-24.7859,-65.4117,69.24,67,71,3.69,AR,1611880146
Itarema,-2.9248,-39.9167,80.47,76,94,12.95,BR,1611879943
Ponta do Sol,32.6667,-17.1,57.99,74,33,1.99,PT,1611879975
Rørvik,64.8621,11.2373,23.83,95,68,21.65,NO,1611880147
Eucaliptus,-17.5833,-67.5167,55.2,40,56,4.03,BO,1611880147
Torbay,47.6666,-52.7314,22.82,91,100,11.65,CA,1611879973
Piła,53.1515,16.7378,28.99,95,68,7.0,PL,1611880147
Geraldton,-28.7667,114.6,84.2,32,0,18.41,AU,1611880147
Khāsh,28.2211,61.2158,38.46,48,0,1.45,IR,1611880148
Umluj,25.0213,37.2685,67.84,59,16,5.61,SA,1611880148
Kamaishi,39.2667,141.8833,33.8,80,75,4.61,JP,1611880048
Deputatsky,69.3,139.9,-36.99,81,85,2.98,RU,1611880148
Caconda,-13.7333,15.0667,59.72,77,99,5.48,AO,1611880148
Ketchikan,55.3422,-131.6461,28.4,64,1,4.61,US,1611880148
Varberg,57.1056,12.2508,27.95,91,0,10.47,SE,1611880149
Palmer,42.1584,-72.3287,18.19,88,68,14.41,US,1611879896
Constitución,-35.3333,-72.4167,60.57,81,60,9.04,CL,1611880149
Rawson,-43.3002,-65.1023,61.32,59,58,15.01,AR,1611880149
Bonavista,48.6499,-53.1147,24.01,93,96,5.75,CA,1611880013
Westport,41.1415,-73.3579,24.8,42,1,11.5,US,1611880150
Pacifica,37.6138,-122.4869,55.0,87,75,6.91,US,1611880047
Lahat,-3.8,103.5333,72.93,92,100,1.92,ID,1611880094
Chilca,-12.5211,-76.7372,71.6,73,0,12.66,PE,1611880150
Aswān,24.0934,32.907,53.01,48,29,7.72,EG,1611880150
Karasjok,69.4719,25.5112,14.0,79,100,9.22,NO,1611880150
Yanam,16.7333,82.2167,73.56,79,60,3.33,IN,1611880151
Manyana,-23.4,21.7167,73.85,62,66,6.93,BW,1611880151
Souillac,-20.5167,57.5167,75.2,88,40,7.52,MU,1611880151
Makkah al Mukarramah,21.4267,39.8261,72.72,77,72,3.69,SA,1611879970
Kumluca,36.3703,30.2869,45.73,54,13,6.93,TR,1611880151
Potters Bar,51.6935,-0.1784,51.01,96,100,1.01,GB,1611880152
Saint Anthony,45.0205,-93.218,21.2,63,90,10.36,US,1611880012
Merauke,-8.4667,140.3333,84.22,73,100,18.23,ID,1611880089
Dalbandin,28.8947,64.4101,43.21,43,2,3.56,PK,1611880152
Thoen,17.6129,99.2161,70.75,64,26,2.53,TH,1611880152
Pirgos,35.1167,25.7178,48.0,53,5,9.15,GR,1611880152
Carnarvon,-24.8667,113.6333,80.6,54,0,16.11,AU,1611879998
Sotouboua,8.5667,0.9833,76.03,36,8,2.64,TG,1611880153
Warman,52.3168,-106.5679,2.3,94,77,6.15,CA,1611880153
Zyryanka,65.75,150.85,-22.4,86,100,11.18,RU,1611880153
Tulum,20.2167,-87.4667,74.01,88,37,7.02,MX,1611880153
Pachino,36.7186,15.0907,51.01,95,18,24.14,IT,1611880153
Richards Bay,-28.783,32.0377,69.62,89,100,6.82,ZA,1611880153
Salalah,17.0151,54.0924,68.0,64,0,2.3,OM,1611880154
Departamento de Maldonado,-34.6667,-54.9167,75.0,78,75,3.44,UY,1611880154
Brae,60.3964,-1.353,30.2,74,63,9.22,GB,1611880154
Half Moon Bay,37.4636,-122.4286,52.75,77,39,6.15,US,1611880154
Atotonilquillo,20.4,-103.1333,80.01,27,1,5.75,MX,1611880154
Cerro Largo,-28.1486,-54.7381,71.01,94,0,6.91,BR,1611880155
Americus,32.0724,-84.2327,50.0,43,1,5.75,US,1611879939
Simao,22.7886,100.9748,51.21,96,2,2.33,CN,1611880155
Oriximiná,-1.7656,-55.8661,76.95,84,70,3.33,BR,1611880155
Joshīmath,30.5667,79.5667,33.85,51,0,6.8,IN,1611880155
Niquelândia,-14.4739,-48.4597,73.53,77,100,1.1,BR,1611880156
Ahipara,-35.1667,173.1667,65.7,57,52,17.25,NZ,1611880156
